"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ATCC_51524","KPL3033","KPL3043","KPL3050","KPL3052","KPL3065","KPL3069","KPL3070","KPL3077","KPL3084","KPL3086","KPL3090","KPL3246","KPL3250","KPL3256","KPL3264","KPL3274","KPL3911","KPL1914","KPL1934_CDC4709_98","KPL1939_CDC4792_99","KPL1938_CDC4791_99","KPL1937_CDC4199_99","KPL1933_CDC4545_98","KPL1932_CDC4420_98","KPL1931_CDC4294_98","KPL1930_CDC2949_98","KPL1922_CDC39_95"
"GC_00000799","persistent","","28","28","1.0","NA","NA","","","","233","329","325.57","ATCC_51524_CDS_0347","KPL3033_CDS_0171","KPL3043_CDS_0193","KPL3050_CDS_0180","KPL3052_CDS_0167","KPL3065_CDS_0178","KPL3069_CDS_0177","KPL3070_CDS_0182","KPL3077_CDS_1386","KPL3084_CDS_0181","KPL3086_CDS_0177","KPL3090_CDS_0275","KPL3246_CDS_0166","KPL3250_CDS_0151","KPL3256_CDS_1514","KPL3264_CDS_1059","KPL3274_CDS_0182","KPL3911_CDS_0184","KPL1914_CDS_0148","KPL1934_CDC4709_98_CDS_0543","KPL1939_CDC4792_99_CDS_0833","KPL1938_CDC4791_99_CDS_1453","KPL1937_CDC4199_99_CDS_0962","KPL1933_CDC4545_98_CDS_0922","KPL1932_CDC4420_98_CDS_1023","KPL1931_CDC4294_98_CDS_1146","KPL1930_CDC2949_98_CDS_0783","KPL1922_CDC39_95_CDS_1141"
"GC_00000800","persistent","Protein translocase subunit YajC (YajC)","28","28","1.0","NA","NA","","","","335","335","335.0","ATCC_51524_CDS_1353","KPL3033_CDS_0558","KPL3043_CDS_0575","KPL3050_CDS_0668","KPL3052_CDS_0662","KPL3065_CDS_0561","KPL3069_CDS_0668","KPL3070_CDS_0602","KPL3077_CDS_0035","KPL3084_CDS_0612","KPL3086_CDS_0560","KPL3090_CDS_0682","KPL3246_CDS_0590","KPL3250_CDS_0562","KPL3256_CDS_0218","KPL3264_CDS_0664","KPL3274_CDS_0582","KPL3911_CDS_0620","KPL1914_CDS_1502","KPL1934_CDC4709_98_CDS_0983","KPL1939_CDC4792_99_CDS_0161","KPL1938_CDC4791_99_CDS_1001","KPL1937_CDC4199_99_CDS_1627","KPL1933_CDC4545_98_CDS_1350","KPL1932_CDC4420_98_CDS_1301","KPL1931_CDC4294_98_CDS_1772","KPL1930_CDC2949_98_CDS_1554","KPL1922_CDC39_95_CDS_0733"
"GC_00000801","persistent","Panthothenate kinase (CoaA) (PDB:2GA8)","28","28","1.0","NA","NA","","","","920","920","920.0","ATCC_51524_CDS_1496","KPL3033_CDS_1479","KPL3043_CDS_1403","KPL3050_CDS_1491","KPL3052_CDS_1476","KPL3065_CDS_1383","KPL3069_CDS_1556","KPL3070_CDS_1395","KPL3077_CDS_0865","KPL3084_CDS_1421","KPL3086_CDS_1396","KPL3090_CDS_1586","KPL3246_CDS_1390","KPL3250_CDS_1388","KPL3256_CDS_0998","KPL3264_CDS_1584","KPL3274_CDS_1353","KPL3911_CDS_1440","KPL1914_CDS_0655","KPL1934_CDC4709_98_CDS_0037","KPL1939_CDC4792_99_CDS_1519","KPL1938_CDC4791_99_CDS_0546","KPL1937_CDC4199_99_CDS_0600","KPL1933_CDC4545_98_CDS_0136","KPL1932_CDC4420_98_CDS_0026","KPL1931_CDC4294_98_CDS_1108","KPL1930_CDC2949_98_CDS_0020","KPL1922_CDC39_95_CDS_1500"
"GC_00000802","persistent","UDP-N-acetylglucosamine enolpyruvyl transferase (MurA) (PDB:1A2N)","28","28","1.0","NA","NA","","","","1316","1316","1316.0","ATCC_51524_CDS_1518","KPL3033_CDS_1505","KPL3043_CDS_1425","KPL3050_CDS_1523","KPL3052_CDS_1506","KPL3065_CDS_1405","KPL3069_CDS_1578","KPL3070_CDS_1420","KPL3077_CDS_0889","KPL3084_CDS_1446","KPL3086_CDS_1418","KPL3090_CDS_1608","KPL3246_CDS_1420","KPL3250_CDS_1410","KPL3256_CDS_1023","KPL3264_CDS_1554","KPL3274_CDS_1379","KPL3911_CDS_1465","KPL1914_CDS_0633","KPL1934_CDC4709_98_CDS_0067","KPL1939_CDC4792_99_CDS_1497","KPL1938_CDC4791_99_CDS_0580","KPL1937_CDC4199_99_CDS_0630","KPL1933_CDC4545_98_CDS_0107","KPL1932_CDC4420_98_CDS_1375","KPL1931_CDC4294_98_CDS_1088","KPL1930_CDC2949_98_CDS_1183","KPL1922_CDC39_95_CDS_1478"
"GC_00000803","persistent","Ribosome maturation factor RimP (RimP) (PDB:1IB8)","28","28","1.0","NA","NA","","","","470","470","470.0","ATCC_51524_CDS_1125","KPL3033_CDS_0783","KPL3043_CDS_0808","KPL3050_CDS_0911","KPL3052_CDS_0908","KPL3065_CDS_0796","KPL3069_CDS_0904","KPL3070_CDS_0837","KPL3077_CDS_0264","KPL3084_CDS_0856","KPL3086_CDS_0797","KPL3090_CDS_0919","KPL3246_CDS_0829","KPL3250_CDS_0797","KPL3256_CDS_0431","KPL3264_CDS_0422","KPL3274_CDS_0796","KPL3911_CDS_0879","KPL1914_CDS_1268","KPL1934_CDC4709_98_CDS_1215","KPL1939_CDC4792_99_CDS_1164","KPL1938_CDC4791_99_CDS_0315","KPL1937_CDC4199_99_CDS_0227","KPL1933_CDC4545_98_CDS_0624","KPL1932_CDC4420_98_CDS_0150","KPL1931_CDC4294_98_CDS_0538","KPL1930_CDC2949_98_CDS_1340","KPL1922_CDC39_95_CDS_1301"
"GC_00000804","persistent","Glycyl-tRNA synthetase, alpha subunit (GlyQ) (PDB:1J5W)","28","28","1.0","NA","NA","","","","929","929","929.0","ATCC_51524_CDS_1069","KPL3033_CDS_0835","KPL3043_CDS_0862","KPL3050_CDS_0963","KPL3052_CDS_0959","KPL3065_CDS_0849","KPL3069_CDS_0957","KPL3070_CDS_0889","KPL3077_CDS_0325","KPL3084_CDS_0907","KPL3086_CDS_0853","KPL3090_CDS_0975","KPL3246_CDS_0884","KPL3250_CDS_0864","KPL3256_CDS_0488","KPL3264_CDS_0369","KPL3274_CDS_0847","KPL3911_CDS_0932","KPL1914_CDS_1217","KPL1934_CDC4709_98_CDS_1268","KPL1939_CDC4792_99_CDS_1097","KPL1938_CDC4791_99_CDS_0365","KPL1937_CDC4199_99_CDS_1176","KPL1933_CDC4545_98_CDS_0559","KPL1932_CDC4420_98_CDS_0100","KPL1931_CDC4294_98_CDS_0590","KPL1930_CDC2949_98_CDS_1285","KPL1922_CDC39_95_CDS_1245"
"GC_00000805","persistent","FoF1-type ATP synthase, gamma subunit (AtpG) (PDB:3OAA) (PUBMED:15326535)","28","28","1.0","NA","NA","","","","932","932","932.0","ATCC_51524_CDS_0222","KPL3033_CDS_0295","KPL3043_CDS_0312","KPL3050_CDS_0315","KPL3052_CDS_0298","KPL3065_CDS_0299","KPL3069_CDS_0306","KPL3070_CDS_0313","KPL3077_CDS_1514","KPL3084_CDS_0318","KPL3086_CDS_0297","KPL3090_CDS_0407","KPL3246_CDS_0312","KPL3250_CDS_0291","KPL3256_CDS_1645","KPL3264_CDS_0941","KPL3274_CDS_0304","KPL3911_CDS_0320","KPL1914_CDS_0018","KPL1934_CDC4709_98_CDS_0665","KPL1939_CDC4792_99_CDS_0477","KPL1938_CDC4791_99_CDS_1135","KPL1937_CDC4199_99_CDS_0824","KPL1933_CDC4545_98_CDS_0784","KPL1932_CDC4420_98_CDS_1148","KPL1931_CDC4294_98_CDS_1217","KPL1930_CDC2949_98_CDS_0143","KPL1922_CDC39_95_CDS_1021"
"GC_00000806","persistent","ABC-type multidrug transport system, permease component (YadH)","28","28","1.0","NA","NA","","","","803","803","803.0","ATCC_51524_CDS_0627","KPL3033_CDS_1703","KPL3043_CDS_1607","KPL3050_CDS_1728","KPL3052_CDS_1713","KPL3065_CDS_1587","KPL3069_CDS_1767","KPL3070_CDS_1637","KPL3077_CDS_1099","KPL3084_CDS_1657","KPL3086_CDS_1600","KPL3090_CDS_1786","KPL3246_CDS_1625","KPL3250_CDS_1603","KPL3256_CDS_1211","KPL3264_CDS_1351","KPL3274_CDS_1581","KPL3911_CDS_1672","KPL1914_CDS_0426","KPL1934_CDC4709_98_CDS_0257","KPL1939_CDC4792_99_CDS_1707","KPL1938_CDC4791_99_CDS_0504","KPL1937_CDC4199_99_CDS_1271","KPL1933_CDC4545_98_CDS_1448","KPL1932_CDC4420_98_CDS_0988","KPL1931_CDC4294_98_CDS_1351","KPL1930_CDC2949_98_CDS_0037","KPL1922_CDC39_95_CDS_0608"
"GC_00000807","persistent","CTP synthase (UTP-ammonia lyase) (PyrG) (PDB:1S1M)","28","28","1.0","NA","NA","","","","1601","1601","1601.0","ATCC_51524_CDS_0154","KPL3033_CDS_0362","KPL3043_CDS_0379","KPL3050_CDS_0383","KPL3052_CDS_0366","KPL3065_CDS_0367","KPL3069_CDS_0374","KPL3070_CDS_0384","KPL3077_CDS_1581","KPL3084_CDS_0390","KPL3086_CDS_0365","KPL3090_CDS_0474","KPL3246_CDS_0380","KPL3250_CDS_0359","KPL3256_CDS_1712","KPL3264_CDS_0870","KPL3274_CDS_0375","KPL3911_CDS_0391","KPL1914_CDS_1706","KPL1934_CDC4709_98_CDS_0732","KPL1939_CDC4792_99_CDS_0544","KPL1938_CDC4791_99_CDS_1238","KPL1937_CDC4199_99_CDS_0756","KPL1933_CDC4545_98_CDS_0717","KPL1932_CDC4420_98_CDS_1717","KPL1931_CDC4294_98_CDS_1282","KPL1930_CDC2949_98_CDS_1683","KPL1922_CDC39_95_CDS_1657"
"GC_00000808","persistent","5-bromo-4-chloroindolyl phosphatase XpaC (XpaC)","28","28","1.0","NA","NA","","","","731","731","731.0","ATCC_51524_CDS_0800","KPL3033_CDS_1158","KPL3043_CDS_1120","KPL3050_CDS_1220","KPL3052_CDS_1220","KPL3065_CDS_1100","KPL3069_CDS_1205","KPL3070_CDS_1133","KPL3077_CDS_0606","KPL3084_CDS_1157","KPL3086_CDS_1114","KPL3090_CDS_1242","KPL3246_CDS_1128","KPL3250_CDS_1118","KPL3256_CDS_0723","KPL3264_CDS_0100","KPL3274_CDS_1089","KPL3911_CDS_1180","KPL1914_CDS_0909","KPL1934_CDC4709_98_CDS_1516","KPL1939_CDC4792_99_CDS_0302","KPL1938_CDC4791_99_CDS_0756","KPL1937_CDC4199_99_CDS_1785","KPL1933_CDC4545_98_CDS_1578","KPL1932_CDC4420_98_CDS_0578","KPL1931_CDC4294_98_CDS_0361","KPL1930_CDC2949_98_CDS_1097","KPL1922_CDC39_95_CDS_0430"
"GC_00000809","persistent","Endonuclease III (Nth) (PDB:4UOB)","28","28","1.0","NA","NA","","","","644","650","644.21","ATCC_51524_CDS_1263","KPL3033_CDS_0654","KPL3043_CDS_0666","KPL3050_CDS_0758","KPL3052_CDS_0753","KPL3065_CDS_0652","KPL3069_CDS_0758","KPL3070_CDS_0690","KPL3077_CDS_0125","KPL3084_CDS_0700","KPL3086_CDS_0652","KPL3090_CDS_0774","KPL3246_CDS_0685","KPL3250_CDS_0653","KPL3256_CDS_0296","KPL3264_CDS_0574","KPL3274_CDS_0666","KPL3911_CDS_0719","KPL1914_CDS_1406","KPL1934_CDC4709_98_CDS_1066","KPL1939_CDC4792_99_CDS_1304","KPL1938_CDC4791_99_CDS_0173","KPL1937_CDC4199_99_CDS_1545","KPL1933_CDC4545_98_CDS_1273","KPL1932_CDC4420_98_CDS_1405","KPL1931_CDC4294_98_CDS_0620","KPL1930_CDC2949_98_CDS_1471","KPL1922_CDC39_95_CDS_1428"
"GC_00000810","persistent","","28","28","1.0","NA","NA","","","","329","338","337.36","ATCC_51524_CDS_1444","KPL3033_CDS_1425","KPL3043_CDS_1350","KPL3050_CDS_1438","KPL3052_CDS_1421","KPL3065_CDS_1330","KPL3069_CDS_1502","KPL3070_CDS_1340","KPL3077_CDS_0816","KPL3084_CDS_1365","KPL3086_CDS_1343","KPL3090_CDS_1458","KPL3246_CDS_1339","KPL3250_CDS_1333","KPL3256_CDS_0943","KPL3264_CDS_1636","KPL3274_CDS_1297","KPL3911_CDS_1389","KPL1914_CDS_0703","KPL1934_CDC4709_98_CDS_1726","KPL1939_CDC4792_99_CDS_1572","KPL1938_CDC4791_99_CDS_1576","KPL1937_CDC4199_99_CDS_0547","KPL1933_CDC4545_98_CDS_0190","KPL1932_CDC4420_98_CDS_0389","KPL1931_CDC4294_98_CDS_0716","KPL1930_CDC2949_98_CDS_0320","KPL1922_CDC39_95_CDS_1554"
"GC_00000811","persistent","Predicted kinase related to dihydroxyacetone kinase (YloV)","28","28","1.0","NA","NA","","","","1688","1688","1688.0","ATCC_51524_CDS_1325","KPL3033_CDS_0586","KPL3043_CDS_0603","KPL3050_CDS_0696","KPL3052_CDS_0691","KPL3065_CDS_0589","KPL3069_CDS_0696","KPL3070_CDS_0630","KPL3077_CDS_0063","KPL3084_CDS_0640","KPL3086_CDS_0588","KPL3090_CDS_0712","KPL3246_CDS_0618","KPL3250_CDS_0590","KPL3256_CDS_0246","KPL3264_CDS_0636","KPL3274_CDS_0610","KPL3911_CDS_0648","KPL1914_CDS_1474","KPL1934_CDC4709_98_CDS_1011","KPL1939_CDC4792_99_CDS_0133","KPL1938_CDC4791_99_CDS_1029","KPL1937_CDC4199_99_CDS_1599","KPL1933_CDC4545_98_CDS_1322","KPL1932_CDC4420_98_CDS_1329","KPL1931_CDC4294_98_CDS_1744","KPL1930_CDC2949_98_CDS_1526","KPL1922_CDC39_95_CDS_0705"
"GC_00000812","persistent","HD superfamily phosphodieaserase, includes HD domain of RNase Y (RnaY) (PDB:3DTO) (PUBMED:19779461)","28","28","1.0","NA","NA","","","","641","641","641.0","ATCC_51524_CDS_0489","KPL3033_CDS_0036","KPL3043_CDS_0042","KPL3050_CDS_0036","KPL3052_CDS_0036","KPL3065_CDS_0042","KPL3069_CDS_0038","KPL3070_CDS_0043","KPL3077_CDS_1238","KPL3084_CDS_0043","KPL3086_CDS_0042","KPL3090_CDS_0052","KPL3246_CDS_0041","KPL3250_CDS_0036","KPL3256_CDS_1373","KPL3264_CDS_1216","KPL3274_CDS_0036","KPL3911_CDS_0044","KPL1914_CDS_0298","KPL1934_CDC4709_98_CDS_0404","KPL1939_CDC4792_99_CDS_0684","KPL1938_CDC4791_99_CDS_1422","KPL1937_CDC4199_99_CDS_1116","KPL1933_CDC4545_98_CDS_1074","KPL1932_CDC4420_98_CDS_1539","KPL1931_CDC4294_98_CDS_0842","KPL1930_CDC2949_98_CDS_0411","KPL1922_CDC39_95_CDS_0002"
"GC_00000813","persistent","Putative aminopeptidase FrvX (FrvX) (PDB:1VHE)","28","28","1.0","NA","NA","","","","1073","1073","1073.0","ATCC_51524_CDS_0961","KPL3033_CDS_0944","KPL3043_CDS_0964","KPL3050_CDS_1072","KPL3052_CDS_1068","KPL3065_CDS_0950","KPL3069_CDS_1053","KPL3070_CDS_0989","KPL3077_CDS_0448","KPL3084_CDS_1006","KPL3086_CDS_0963","KPL3090_CDS_1083","KPL3246_CDS_0982","KPL3250_CDS_0967","KPL3256_CDS_0576","KPL3264_CDS_0268","KPL3274_CDS_0942","KPL3911_CDS_1032","KPL1914_CDS_1089","KPL1934_CDC4709_98_CDS_1372","KPL1939_CDC4792_99_CDS_0998","KPL1938_CDC4791_99_CDS_0110","KPL1937_CDC4199_99_CDS_1686","KPL1933_CDC4545_98_CDS_0457","KPL1932_CDC4420_98_CDS_0763","KPL1931_CDC4294_98_CDS_0475","KPL1930_CDC2949_98_CDS_0149","KPL1922_CDC39_95_CDS_0184"
"GC_00000814","persistent","Xaa-Pro aminopeptidase (PepP) (PDB:1A16)","28","28","1.0","NA","NA","","","","1061","1100","1076.32","ATCC_51524_CDS_0930","KPL3033_CDS_0975","KPL3043_CDS_0995","KPL3050_CDS_1103","KPL3052_CDS_1099","KPL3065_CDS_0981","KPL3069_CDS_1086","KPL3070_CDS_1020","KPL3077_CDS_0479","KPL3084_CDS_1038","KPL3086_CDS_0994","KPL3090_CDS_1114","KPL3246_CDS_1014","KPL3250_CDS_0998","KPL3256_CDS_0607","KPL3264_CDS_0237","KPL3274_CDS_0973","KPL3911_CDS_1063","KPL1914_CDS_1058","KPL1934_CDC4709_98_CDS_1403","KPL1939_CDC4792_99_CDS_0967","KPL1938_CDC4791_99_CDS_0079","KPL1937_CDC4199_99_CDS_0165","KPL1933_CDC4545_98_CDS_0426","KPL1932_CDC4420_98_CDS_0794","KPL1931_CDC4294_98_CDS_0506","KPL1930_CDC2949_98_CDS_0180","KPL1922_CDC39_95_CDS_0154"
"GC_00000815","persistent","Uncharacterized conserved protein (PDB:2KPP)","28","28","1.0","NA","NA","","","","473","509","474.29","ATCC_51524_CDS_0064","KPL3033_CDS_0460","KPL3043_CDS_0478","KPL3050_CDS_0481","KPL3052_CDS_0475","KPL3065_CDS_0464","KPL3069_CDS_0488","KPL3070_CDS_0507","KPL3077_CDS_1679","KPL3084_CDS_0511","KPL3086_CDS_0462","KPL3090_CDS_0575","KPL3246_CDS_0485","KPL3250_CDS_0460","KPL3256_CDS_0115","KPL3264_CDS_0771","KPL3274_CDS_0474","KPL3911_CDS_0515","KPL1914_CDS_1608","KPL1934_CDC4709_98_CDS_0832","KPL1939_CDC4792_99_CDS_0224","KPL1938_CDC4791_99_CDS_0018","KPL1937_CDC4199_99_CDS_0430","KPL1933_CDC4545_98_CDS_0348","KPL1932_CDC4420_98_CDS_1197","KPL1931_CDC4294_98_CDS_1848","KPL1930_CDC2949_98_CDS_1240","KPL1922_CDC39_95_CDS_0581"
"GC_00000816","persistent","","28","28","1.0","NA","NA","","","","1040","1040","1040.0","ATCC_51524_CDS_1643","KPL3033_CDS_1628","KPL3043_CDS_1552","KPL3050_CDS_1656","KPL3052_CDS_1640","KPL3065_CDS_1531","KPL3069_CDS_1711","KPL3070_CDS_1575","KPL3077_CDS_1022","KPL3084_CDS_1594","KPL3086_CDS_1545","KPL3090_CDS_1734","KPL3246_CDS_1552","KPL3250_CDS_1528","KPL3256_CDS_1158","KPL3264_CDS_1421","KPL3274_CDS_1511","KPL3911_CDS_1609","KPL1914_CDS_0504","KPL1934_CDC4709_98_CDS_0198","KPL1939_CDC4792_99_CDS_1379","KPL1938_CDC4791_99_CDS_1090","KPL1937_CDC4199_99_CDS_0386","KPL1933_CDC4545_98_CDS_0297","KPL1932_CDC4420_98_CDS_0473","KPL1931_CDC4294_98_CDS_0153","KPL1930_CDC2949_98_CDS_0248","KPL1922_CDC39_95_CDS_0877"
"GC_00000817","persistent","","28","28","1.0","NA","NA","","","","1085","1085","1085.0","ATCC_51524_CDS_1675","KPL3033_CDS_1665","KPL3043_CDS_1574","KPL3050_CDS_1694","KPL3052_CDS_1676","KPL3065_CDS_1554","KPL3069_CDS_1732","KPL3070_CDS_1602","KPL3077_CDS_1064","KPL3084_CDS_1622","KPL3086_CDS_1567","KPL3090_CDS_1755","KPL3246_CDS_1590","KPL3250_CDS_1568","KPL3256_CDS_1177","KPL3264_CDS_1382","KPL3274_CDS_1548","KPL3911_CDS_1636","KPL1914_CDS_0459","KPL1934_CDC4709_98_CDS_0228","KPL1939_CDC4792_99_CDS_1340","KPL1938_CDC4791_99_CDS_1119","KPL1937_CDC4199_99_CDS_0348","KPL1933_CDC4545_98_CDS_0259","KPL1932_CDC4420_98_CDS_0502","KPL1931_CDC4294_98_CDS_0182","KPL1930_CDC2949_98_CDS_0212","KPL1922_CDC39_95_CDS_0913"
"GC_00000818","persistent","Methionyl-tRNA formyltransferase (Fmt) (PDB:1FMT)","28","28","1.0","NA","NA","","","","950","950","950.0","ATCC_51524_CDS_1334","KPL3033_CDS_0577","KPL3043_CDS_0594","KPL3050_CDS_0687","KPL3052_CDS_0682","KPL3065_CDS_0580","KPL3069_CDS_0687","KPL3070_CDS_0621","KPL3077_CDS_0054","KPL3084_CDS_0631","KPL3086_CDS_0579","KPL3090_CDS_0703","KPL3246_CDS_0609","KPL3250_CDS_0581","KPL3256_CDS_0237","KPL3264_CDS_0645","KPL3274_CDS_0601","KPL3911_CDS_0639","KPL1914_CDS_1483","KPL1934_CDC4709_98_CDS_1002","KPL1939_CDC4792_99_CDS_0142","KPL1938_CDC4791_99_CDS_1020","KPL1937_CDC4199_99_CDS_1608","KPL1933_CDC4545_98_CDS_1331","KPL1932_CDC4420_98_CDS_1320","KPL1931_CDC4294_98_CDS_1753","KPL1930_CDC2949_98_CDS_1535","KPL1922_CDC39_95_CDS_0714"
"GC_00000819","persistent","Membrane-associated protease RseP, regulator of RpoE activity (RseP)","28","28","1.0","NA","NA","","","","1271","1271","1271.0","ATCC_51524_CDS_1128","KPL3033_CDS_0780","KPL3043_CDS_0805","KPL3050_CDS_0908","KPL3052_CDS_0905","KPL3065_CDS_0793","KPL3069_CDS_0901","KPL3070_CDS_0834","KPL3077_CDS_0261","KPL3084_CDS_0853","KPL3086_CDS_0794","KPL3090_CDS_0916","KPL3246_CDS_0826","KPL3250_CDS_0794","KPL3256_CDS_0428","KPL3264_CDS_0425","KPL3274_CDS_0793","KPL3911_CDS_0875","KPL1914_CDS_1271","KPL1934_CDC4709_98_CDS_1212","KPL1939_CDC4792_99_CDS_1167","KPL1938_CDC4791_99_CDS_0312","KPL1937_CDC4199_99_CDS_0230","KPL1933_CDC4545_98_CDS_0627","KPL1932_CDC4420_98_CDS_0153","KPL1931_CDC4294_98_CDS_0535","KPL1930_CDC2949_98_CDS_1343","KPL1922_CDC39_95_CDS_1304"
"GC_00000820","persistent","ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4)","28","28","1.0","NA","NA","","","","866","866","866.0","ATCC_51524_CDS_0072","KPL3033_CDS_0451","KPL3043_CDS_0470","KPL3050_CDS_0473","KPL3052_CDS_0465","KPL3065_CDS_0456","KPL3069_CDS_0479","KPL3070_CDS_0498","KPL3077_CDS_1671","KPL3084_CDS_0502","KPL3086_CDS_0454","KPL3090_CDS_0565","KPL3246_CDS_0476","KPL3250_CDS_0452","KPL3256_CDS_0107","KPL3264_CDS_0780","KPL3274_CDS_0466","KPL3911_CDS_0506","KPL1914_CDS_1617","KPL1934_CDC4709_98_CDS_0824","KPL1939_CDC4792_99_CDS_0217","KPL1938_CDC4791_99_CDS_0027","KPL1937_CDC4199_99_CDS_0438","KPL1933_CDC4545_98_CDS_0356","KPL1932_CDC4420_98_CDS_1188","KPL1931_CDC4294_98_CDS_1840","KPL1930_CDC2949_98_CDS_1231","KPL1922_CDC39_95_CDS_0572"
"GC_00000821","persistent","Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O)","28","28","1.0","NA","NA","","","","1982","1982","1982.0","ATCC_51524_CDS_0008","KPL3033_CDS_0517","KPL3043_CDS_0536","KPL3050_CDS_0621","KPL3052_CDS_0617","KPL3065_CDS_0522","KPL3069_CDS_0622","KPL3070_CDS_0563","KPL3077_CDS_1828","KPL3084_CDS_0573","KPL3086_CDS_0521","KPL3090_CDS_0637","KPL3246_CDS_0551","KPL3250_CDS_0517","KPL3256_CDS_0173","KPL3264_CDS_0708","KPL3274_CDS_0538","KPL3911_CDS_0574","KPL1914_CDS_1550","KPL1934_CDC4709_98_CDS_0945","KPL1939_CDC4792_99_CDS_0888","KPL1938_CDC4791_99_CDS_0963","KPL1937_CDC4199_99_CDS_0276","KPL1933_CDC4545_98_CDS_1395","KPL1932_CDC4420_98_CDS_1263","KPL1931_CDC4294_98_CDS_1905","KPL1930_CDC2949_98_CDS_1592","KPL1922_CDC39_95_CDS_1173"
"GC_00000822","persistent","Nicotinate-nucleotide adenylyltransferase NadD (NadD) (PDB:1YUM)","28","28","1.0","NA","NA","","","","638","638","638.0","ATCC_51524_CDS_0731","KPL3033_CDS_1235","KPL3043_CDS_1188","KPL3050_CDS_1300","KPL3052_CDS_1292","KPL3065_CDS_1172","KPL3069_CDS_1282","KPL3070_CDS_1202","KPL3077_CDS_0675","KPL3084_CDS_1226","KPL3086_CDS_1184","KPL3090_CDS_1316","KPL3246_CDS_1206","KPL3250_CDS_1197","KPL3256_CDS_0803","KPL3264_CDS_0021","KPL3274_CDS_1167","KPL3911_CDS_1251","KPL1914_CDS_0840","KPL1934_CDC4709_98_CDS_1587","KPL1939_CDC4792_99_CDS_0043","KPL1938_CDC4791_99_CDS_0825","KPL1937_CDC4199_99_CDS_1449","KPL1933_CDC4545_98_CDS_1647","KPL1932_CDC4420_98_CDS_0647","KPL1931_CDC4294_98_CDS_0284","KPL1930_CDC2949_98_CDS_1028","KPL1922_CDC39_95_CDS_0360"
"GC_00000823","persistent","Periplasmic Zn/Cd-binding protein ZinT (ZinT) (PDB:1OEE)","28","28","1.0","NA","NA","","","","965","971","970.14","ATCC_51524_CDS_0099","KPL3033_CDS_0425","KPL3043_CDS_0443","KPL3050_CDS_0447","KPL3052_CDS_0437","KPL3065_CDS_0430","KPL3069_CDS_0452","KPL3070_CDS_0470","KPL3077_CDS_1644","KPL3084_CDS_0474","KPL3086_CDS_0428","KPL3090_CDS_0538","KPL3246_CDS_0450","KPL3250_CDS_0424","KPL3256_CDS_0081","KPL3264_CDS_0805","KPL3274_CDS_0440","KPL3911_CDS_0477","KPL1914_CDS_1643","KPL1934_CDC4709_98_CDS_0796","KPL1939_CDC4792_99_CDS_0184","KPL1938_CDC4791_99_CDS_0054","KPL1937_CDC4199_99_CDS_0464","KPL1933_CDC4545_98_CDS_0384","KPL1932_CDC4420_98_CDS_1161","KPL1931_CDC4294_98_CDS_1813","KPL1930_CDC2949_98_CDS_1206","KPL1922_CDC39_95_CDS_0546"
"GC_00000824","persistent","ABC-type uncharacterized transport system, periplasmic component (PDB:3LFT)","28","28","1.0","NA","NA","","","","974","974","974.0","ATCC_51524_CDS_1000","KPL3033_CDS_0899","KPL3043_CDS_0922","KPL3050_CDS_1031","KPL3052_CDS_1026","KPL3065_CDS_0908","KPL3069_CDS_1015","KPL3070_CDS_0948","KPL3077_CDS_0408","KPL3084_CDS_0966","KPL3086_CDS_0920","KPL3090_CDS_1038","KPL3246_CDS_0943","KPL3250_CDS_0923","KPL3256_CDS_0537","KPL3264_CDS_0308","KPL3274_CDS_0900","KPL3911_CDS_0992","KPL1914_CDS_1132","KPL1934_CDC4709_98_CDS_1329","KPL1939_CDC4792_99_CDS_1040","KPL1938_CDC4791_99_CDS_0426","KPL1937_CDC4199_99_CDS_1233","KPL1933_CDC4545_98_CDS_0499","KPL1932_CDC4420_98_CDS_0038","KPL1931_CDC4294_98_CDS_0027","KPL1930_CDC2949_98_CDS_0930","KPL1922_CDC39_95_CDS_0195"
"GC_00000825","persistent","DNA-binding transcriptional regulator, GntR family (MngR) (PDB:2WV0)","28","28","1.0","NA","NA","","","","719","719","719.0","ATCC_51524_CDS_0233","KPL3033_CDS_0283","KPL3043_CDS_0300","KPL3050_CDS_0305","KPL3052_CDS_0281","KPL3065_CDS_0287","KPL3069_CDS_0289","KPL3070_CDS_0301","KPL3077_CDS_1501","KPL3084_CDS_0301","KPL3086_CDS_0285","KPL3090_CDS_0393","KPL3246_CDS_0289","KPL3250_CDS_0275","KPL3256_CDS_1627","KPL3264_CDS_0960","KPL3274_CDS_0293","KPL3911_CDS_0303","KPL1914_CDS_0028","KPL1934_CDC4709_98_CDS_0652","KPL1939_CDC4792_99_CDS_0465","KPL1938_CDC4791_99_CDS_1146","KPL1937_CDC4199_99_CDS_0837","KPL1933_CDC4545_98_CDS_0802","KPL1932_CDC4420_98_CDS_1137","KPL1931_CDC4294_98_CDS_1591","KPL1930_CDC2949_98_CDS_0894","KPL1922_CDC39_95_CDS_1032"
