Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Accessory Fragment,Genome Fragment,Order within Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,KPL3033,KPL3043,KPL3050,KPL3052,KPL3065,KPL3069,KPL3070,KPL3077,KPL3084,KPL3086,KPL3090,KPL3246,KPL3250,KPL3256,KPL3264,KPL3274,KPL3911,KPL1914,KPL1934_CDC4709_98,ATCC_51524,KPL1939_CDC4792_99,KPL1938_CDC4791_99,KPL1937_CDC4199_99,KPL1933_CDC4545_98,KPL1932_CDC4420_98,KPL1931_CDC4294_98,KPL1930_CDC2949_98,KPL1922_CDC39_95
KPL3065_CDS_0953,persistent,hypothetical protein,28,28,1,NA,NA,,,,722,788,785.64,KPL3033_CDS_0947,KPL3043_CDS_0967,KPL3050_CDS_1075,KPL3052_CDS_1071,KPL3065_CDS_0953,KPL3069_CDS_1056,KPL3070_CDS_0992,KPL3077_CDS_0451,KPL3084_CDS_1009,KPL3086_CDS_0966,KPL3090_CDS_1086,KPL3246_CDS_0985,KPL3250_CDS_0970,KPL3256_CDS_0579,KPL3264_CDS_0265,KPL3274_CDS_0945,KPL3911_CDS_1035,KPL1914_CDS_1086,KPL1934_CDC4709_98_CDS_1375,ATCC_51524_CDS_0958,KPL1939_CDC4792_99_CDS_0995,KPL1938_CDC4791_99_CDS_0107,KPL1937_CDC4199_99_CDS_1689,KPL1933_CDC4545_98_CDS_0454,KPL1932_CDC4420_98_CDS_0766,KPL1931_CDC4294_98_CDS_0478,KPL1930_CDC2949_98_CDS_0152,KPL1922_CDC39_95_CDS_0181
KPL3065_CDS_0985,persistent,hypothetical protein,28,28,1,NA,NA,,,,446,446,446,KPL3033_CDS_0979,KPL3043_CDS_0999,KPL3050_CDS_1107,KPL3052_CDS_1103,KPL3065_CDS_0985,KPL3069_CDS_1090,KPL3070_CDS_1024,KPL3077_CDS_0483,KPL3084_CDS_1042,KPL3086_CDS_0998,KPL3090_CDS_1118,KPL3246_CDS_1018,KPL3250_CDS_1002,KPL3256_CDS_0611,KPL3264_CDS_0233,KPL3274_CDS_0977,KPL3911_CDS_1067,KPL1914_CDS_1054,KPL1934_CDC4709_98_CDS_1407,ATCC_51524_CDS_0926,KPL1939_CDC4792_99_CDS_0963,KPL1938_CDC4791_99_CDS_0075,KPL1937_CDC4199_99_CDS_0169,KPL1933_CDC4545_98_CDS_0422,KPL1932_CDC4420_98_CDS_0798,KPL1931_CDC4294_98_CDS_0510,KPL1930_CDC2949_98_CDS_0184,KPL1922_CDC39_95_CDS_0150
KPL3065_CDS_1017,persistent,hypothetical protein,28,28,1,NA,NA,,,,653,653,653,KPL3033_CDS_1018,KPL3043_CDS_1035,KPL3050_CDS_1143,KPL3052_CDS_1144,KPL3065_CDS_1017,KPL3069_CDS_1125,KPL3070_CDS_1055,KPL3077_CDS_0522,KPL3084_CDS_1075,KPL3086_CDS_1030,KPL3090_CDS_1158,KPL3246_CDS_1053,KPL3250_CDS_1034,KPL3256_CDS_0645,KPL3264_CDS_0188,KPL3274_CDS_1007,KPL3911_CDS_1099,KPL1914_CDS_1013,KPL1934_CDC4709_98_CDS_1440,ATCC_51524_CDS_0875,KPL1939_CDC4792_99_CDS_0928,KPL1938_CDC4791_99_CDS_1055,KPL1937_CDC4199_99_CDS_1709,KPL1933_CDC4545_98_CDS_0399,KPL1932_CDC4420_98_CDS_0832,KPL1931_CDC4294_98_CDS_1323,KPL1930_CDC2949_98_CDS_0642,KPL1922_CDC39_95_CDS_0116
KPL3065_CDS_1049,persistent,Ribosomal RNA large subunit methyltransferase L,28,28,1,NA,NA,,,,1124,1127,1126.89,KPL3033_CDS_1108,KPL3043_CDS_1069,KPL3050_CDS_1169,KPL3052_CDS_1169,KPL3065_CDS_1049,KPL3069_CDS_1155,KPL3070_CDS_1082,KPL3077_CDS_0552,KPL3084_CDS_1105,KPL3086_CDS_1063,KPL3090_CDS_1190,KPL3246_CDS_1077,KPL3250_CDS_1066,KPL3256_CDS_0672,KPL3264_CDS_0153,KPL3274_CDS_1038,KPL3911_CDS_1128,KPL1914_CDS_0960,KPL1934_CDC4709_98_CDS_1465,ATCC_51524_CDS_0851,KPL1939_CDC4792_99_CDS_0365,KPL1938_CDC4791_99_CDS_0705,KPL1937_CDC4199_99_CDS_1734,KPL1933_CDC4545_98_CDS_1527,KPL1932_CDC4420_98_CDS_0527,KPL1931_CDC4294_98_CDS_0412,KPL1930_CDC2949_98_CDS_1149,KPL1922_CDC39_95_CDS_0481
KPL3065_CDS_1081,persistent,Magnesium transporter MgtE,28,29,1.04,NA,NA,,,,173,1361,1314.14,KPL3033_CDS_1140,KPL3043_CDS_1101,KPL3050_CDS_1201,KPL3052_CDS_1201,KPL3065_CDS_1081,KPL3069_CDS_1187,KPL3070_CDS_1114,KPL3077_CDS_0586,KPL3084_CDS_1137,KPL3086_CDS_1095,KPL3090_CDS_1222,KPL3246_CDS_1109,KPL3250_CDS_1098,KPL3256_CDS_0704,KPL3264_CDS_0120,KPL3274_CDS_1070,"KPL3911_CDS_1161 ""KPL3911_CDS_1160""",KPL1914_CDS_0928,KPL1934_CDC4709_98_CDS_1497,ATCC_51524_CDS_0819,KPL1939_CDC4792_99_CDS_0333,KPL1938_CDC4791_99_CDS_0737,KPL1937_CDC4199_99_CDS_1766,KPL1933_CDC4545_98_CDS_1559,KPL1932_CDC4420_98_CDS_0559,KPL1931_CDC4294_98_CDS_0380,KPL1930_CDC2949_98_CDS_1116,KPL1922_CDC39_95_CDS_0449
KPL3065_CDS_1113,persistent,Ribonuclease Z,28,28,1,NA,NA,,,,929,938,937.36,KPL3033_CDS_1179,KPL3043_CDS_1133,KPL3050_CDS_1242,KPL3052_CDS_1233,KPL3065_CDS_1113,KPL3069_CDS_1226,KPL3070_CDS_1146,KPL3077_CDS_0619,KPL3084_CDS_1170,KPL3086_CDS_1127,KPL3090_CDS_1258,KPL3246_CDS_1150,KPL3250_CDS_1139,KPL3256_CDS_0745,KPL3264_CDS_0079,KPL3274_CDS_1110,KPL3911_CDS_1195,KPL1914_CDS_0896,KPL1934_CDC4709_98_CDS_1529,ATCC_51524_CDS_0787,KPL1939_CDC4792_99_CDS_0281,KPL1938_CDC4791_99_CDS_0769,KPL1937_CDC4199_99_CDS_0237,KPL1933_CDC4545_98_CDS_1591,KPL1932_CDC4420_98_CDS_0591,KPL1931_CDC4294_98_CDS_0340,KPL1930_CDC2949_98_CDS_1084,KPL1922_CDC39_95_CDS_0417
KPL3065_CDS_1145,persistent,Fumarate reductase flavoprotein subunit,28,28,1,NA,NA,,,,1529,1529,1529,KPL3033_CDS_1210,KPL3043_CDS_1163,KPL3050_CDS_1273,KPL3052_CDS_1264,KPL3065_CDS_1145,KPL3069_CDS_1257,KPL3070_CDS_1177,KPL3077_CDS_0650,KPL3084_CDS_1201,KPL3086_CDS_1159,KPL3090_CDS_1289,KPL3246_CDS_1181,KPL3250_CDS_1170,KPL3256_CDS_0776,KPL3264_CDS_0046,KPL3274_CDS_1141,KPL3911_CDS_1226,KPL1914_CDS_0865,KPL1934_CDC4709_98_CDS_1560,ATCC_51524_CDS_0756,KPL1939_CDC4792_99_CDS_0250,KPL1938_CDC4791_99_CDS_0800,KPL1937_CDC4199_99_CDS_0339,KPL1933_CDC4545_98_CDS_1622,KPL1932_CDC4420_98_CDS_0622,KPL1931_CDC4294_98_CDS_0309,KPL1930_CDC2949_98_CDS_1053,KPL1922_CDC39_95_CDS_0385
KPL3065_CDS_1177,persistent,Phosphoenolpyruvate-protein phosphotransferase,28,28,1,NA,NA,,,,1721,1721,1721,KPL3033_CDS_1240,KPL3043_CDS_1193,KPL3050_CDS_1305,KPL3052_CDS_1297,KPL3065_CDS_1177,KPL3069_CDS_1287,KPL3070_CDS_1207,KPL3077_CDS_0680,KPL3084_CDS_1231,KPL3086_CDS_1189,KPL3090_CDS_1321,KPL3246_CDS_1211,KPL3250_CDS_1202,KPL3256_CDS_0808,KPL3264_CDS_0016,KPL3274_CDS_1172,KPL3911_CDS_1257,KPL1914_CDS_0835,KPL1934_CDC4709_98_CDS_1592,ATCC_51524_CDS_0726,KPL1939_CDC4792_99_CDS_0048,KPL1938_CDC4791_99_CDS_0830,KPL1937_CDC4199_99_CDS_1444,KPL1933_CDC4545_98_CDS_1652,KPL1932_CDC4420_98_CDS_0652,KPL1931_CDC4294_98_CDS_0279,KPL1930_CDC2949_98_CDS_1023,KPL1922_CDC39_95_CDS_0355
KPL3065_CDS_1209,persistent,Tagatose-6-phosphate kinase,26,26,1,NA,NA,,,,347,938,915.27,KPL3033_CDS_1321,,KPL3050_CDS_1330,KPL3052_CDS_1320,KPL3065_CDS_1209,KPL3069_CDS_1315,KPL3070_CDS_1237,KPL3077_CDS_0710,KPL3084_CDS_1261,KPL3086_CDS_1221,KPL3090_CDS_1347,KPL3246_CDS_1236,KPL3250_CDS_1230,KPL3256_CDS_0838,KPL3264_CDS_1748,,KPL3911_CDS_1287,KPL1914_CDS_0805,KPL1934_CDC4709_98_CDS_1620,ATCC_51524_CDS_0700,KPL1939_CDC4792_99_CDS_0075,KPL1938_CDC4791_99_CDS_0859,KPL1937_CDC4199_99_CDS_1365,KPL1933_CDC4545_98_CDS_1677,KPL1932_CDC4420_98_CDS_0681,KPL1931_CDC4294_98_CDS_0249,KPL1930_CDC2949_98_CDS_1002,KPL1922_CDC39_95_CDS_0326
KPL3065_CDS_1241,persistent,Valine--tRNA ligase,28,28,1,NA,NA,,,,2480,2657,2650.68,KPL3033_CDS_1345,KPL3043_CDS_1256,KPL3050_CDS_1361,KPL3052_CDS_1343,KPL3065_CDS_1241,KPL3069_CDS_1344,KPL3070_CDS_1261,KPL3077_CDS_0739,KPL3084_CDS_1285,KPL3086_CDS_1254,KPL3090_CDS_1377,KPL3246_CDS_1262,KPL3250_CDS_1260,KPL3256_CDS_0861,KPL3264_CDS_1718,KPL3274_CDS_1225,KPL3911_CDS_1311,KPL1914_CDS_0781,KPL1934_CDC4709_98_CDS_1641,ATCC_51524_CDS_0672,KPL1939_CDC4792_99_CDS_0107,KPL1938_CDC4791_99_CDS_0897,KPL1937_CDC4199_99_CDS_1341,KPL1933_CDC4545_98_CDS_1697,KPL1932_CDC4420_98_CDS_0712,KPL1931_CDC4294_98_CDS_1621,KPL1930_CDC2949_98_CDS_0978,KPL1922_CDC39_95_CDS_0301
KPL3065_CDS_1273,persistent,Mannosylglycerate hydrolase,28,28,1,NA,NA,,,,2684,2690,2689.79,KPL3033_CDS_1374,KPL3043_CDS_1294,KPL3050_CDS_1392,KPL3052_CDS_1371,KPL3065_CDS_1273,KPL3069_CDS_1446,KPL3070_CDS_1288,KPL3077_CDS_0765,KPL3084_CDS_1311,KPL3086_CDS_1286,KPL3090_CDS_1407,KPL3246_CDS_1294,KPL3250_CDS_1288,KPL3256_CDS_0891,KPL3264_CDS_1689,KPL3274_CDS_1253,KPL3911_CDS_1337,KPL1914_CDS_0753,KPL1934_CDC4709_98_CDS_1668,ATCC_51524_CDS_1399,KPL1939_CDC4792_99_CDS_1617,KPL1938_CDC4791_99_CDS_1525,KPL1937_CDC4199_99_CDS_0503,KPL1933_CDC4545_98_CDS_0242,KPL1932_CDC4420_98_CDS_0443,KPL1931_CDC4294_98_CDS_0767,KPL1930_CDC2949_98_CDS_0269,KPL1922_CDC39_95_CDS_1604
KPL3065_CDS_1337,persistent,Acetate kinase,28,30,1.07,NA,NA,,,,428,1190,1108.6,KPL3033_CDS_1434,KPL3043_CDS_1357,"KPL3050_CDS_1445 ""KPL3050_CDS_1444""","KPL3052_CDS_1429 ""KPL3052_CDS_1430""",KPL3065_CDS_1337,KPL3069_CDS_1509,KPL3070_CDS_1348,KPL3077_CDS_0823,KPL3084_CDS_1373,KPL3086_CDS_1350,KPL3090_CDS_1465,KPL3246_CDS_1346,KPL3250_CDS_1341,KPL3256_CDS_0952,KPL3264_CDS_1629,KPL3274_CDS_1306,KPL3911_CDS_1397,KPL1914_CDS_0697,KPL1934_CDC4709_98_CDS_1734,ATCC_51524_CDS_1451,KPL1939_CDC4792_99_CDS_1564,KPL1938_CDC4791_99_CDS_1584,KPL1937_CDC4199_99_CDS_0554,KPL1933_CDC4545_98_CDS_0182,KPL1932_CDC4420_98_CDS_0381,KPL1931_CDC4294_98_CDS_0711,KPL1930_CDC2949_98_CDS_0328,KPL1922_CDC39_95_CDS_1546
KPL3065_CDS_1401,persistent,Spermidine/putrescine-binding periplasmic protein,28,28,1,NA,NA,,,,1073,1073,1073,KPL3033_CDS_1501,KPL3043_CDS_1421,KPL3050_CDS_1519,KPL3052_CDS_1502,KPL3065_CDS_1401,KPL3069_CDS_1574,KPL3070_CDS_1416,KPL3077_CDS_0885,KPL3084_CDS_1442,KPL3086_CDS_1414,KPL3090_CDS_1604,KPL3246_CDS_1416,KPL3250_CDS_1406,KPL3256_CDS_1019,KPL3264_CDS_1558,KPL3274_CDS_1375,KPL3911_CDS_1461,KPL1914_CDS_0637,KPL1934_CDC4709_98_CDS_0063,ATCC_51524_CDS_1514,KPL1939_CDC4792_99_CDS_1501,KPL1938_CDC4791_99_CDS_0576,KPL1937_CDC4199_99_CDS_0626,KPL1933_CDC4545_98_CDS_0111,KPL1932_CDC4420_98_CDS_1371,KPL1931_CDC4294_98_CDS_1092,KPL1930_CDC2949_98_CDS_1187,KPL1922_CDC39_95_CDS_1482
KPL3065_CDS_1433,persistent,Dihydroorotase,28,28,1,NA,NA,,,,1307,1310,1309.89,KPL3033_CDS_1535,KPL3043_CDS_1454,KPL3050_CDS_1550,KPL3052_CDS_1534,KPL3065_CDS_1433,KPL3069_CDS_1606,KPL3070_CDS_1451,KPL3077_CDS_0921,KPL3084_CDS_1476,KPL3086_CDS_1446,KPL3090_CDS_1637,KPL3246_CDS_1447,KPL3250_CDS_1442,KPL3256_CDS_1054,KPL3264_CDS_1528,KPL3274_CDS_1409,KPL3911_CDS_1494,KPL1914_CDS_0598,KPL1934_CDC4709_98_CDS_0094,ATCC_51524_CDS_1550,KPL1939_CDC4792_99_CDS_1466,KPL1938_CDC4791_99_CDS_0606,KPL1937_CDC4199_99_CDS_0656,KPL1933_CDC4545_98_CDS_0081,KPL1932_CDC4420_98_CDS_0862,KPL1931_CDC4294_98_CDS_0051,KPL1930_CDC2949_98_CDS_0069,KPL1922_CDC39_95_CDS_0778
KPL3065_CDS_1465,persistent,Xanthine phosphoribosyltransferase,28,29,1.04,NA,NA,,,,260,581,558.86,KPL3033_CDS_1567,KPL3043_CDS_1493,KPL3050_CDS_1587,KPL3052_CDS_1571,KPL3065_CDS_1465,KPL3069_CDS_1650,"KPL3070_CDS_1502 ""KPL3070_CDS_1501""",KPL3077_CDS_0963,KPL3084_CDS_1522,KPL3086_CDS_1478,KPL3090_CDS_1673,KPL3246_CDS_1482,KPL3250_CDS_1473,KPL3256_CDS_1098,KPL3264_CDS_1490,KPL3274_CDS_1445,KPL3911_CDS_1541,KPL1914_CDS_0563,KPL1934_CDC4709_98_CDS_0130,ATCC_51524_CDS_1590,KPL1939_CDC4792_99_CDS_1430,KPL1938_CDC4791_99_CDS_0642,KPL1937_CDC4199_99_CDS_0691,KPL1933_CDC4545_98_CDS_0041,KPL1932_CDC4420_98_CDS_0898,KPL1931_CDC4294_98_CDS_0088,KPL1930_CDC2949_98_CDS_0107,KPL1922_CDC39_95_CDS_0816
KPL3065_CDS_1497,persistent,Protease HtpX,28,28,1,NA,NA,,,,899,899,899,KPL3033_CDS_1601,KPL3043_CDS_1517,KPL3050_CDS_1613,KPL3052_CDS_1598,KPL3065_CDS_1497,KPL3069_CDS_1674,KPL3070_CDS_1539,KPL3077_CDS_0996,KPL3084_CDS_1556,KPL3086_CDS_1510,KPL3090_CDS_1698,KPL3246_CDS_1508,KPL3250_CDS_1501,KPL3256_CDS_1122,KPL3264_CDS_1465,KPL3274_CDS_1477,KPL3911_CDS_1574,KPL1914_CDS_0531,KPL1934_CDC4709_98_CDS_0152,ATCC_51524_CDS_1616,KPL1939_CDC4792_99_CDS_1406,KPL1938_CDC4791_99_CDS_0667,KPL1937_CDC4199_99_CDS_0715,KPL1933_CDC4545_98_CDS_0018,KPL1932_CDC4420_98_CDS_1444,KPL1931_CDC4294_98_CDS_0119,KPL1930_CDC2949_98_CDS_0724,KPL1922_CDC39_95_CDS_0842
KPL3065_CDS_1529,persistent,hypothetical protein,28,28,1,NA,NA,,,,401,401,401,KPL3033_CDS_1626,KPL3043_CDS_1550,KPL3050_CDS_1654,KPL3052_CDS_1638,KPL3065_CDS_1529,KPL3069_CDS_1709,KPL3070_CDS_1573,KPL3077_CDS_1020,KPL3084_CDS_1592,KPL3086_CDS_1543,KPL3090_CDS_1732,KPL3246_CDS_1550,KPL3250_CDS_1526,KPL3256_CDS_1156,KPL3264_CDS_1423,KPL3274_CDS_1509,KPL3911_CDS_1607,KPL1914_CDS_0506,KPL1934_CDC4709_98_CDS_0196,ATCC_51524_CDS_1641,KPL1939_CDC4792_99_CDS_1381,KPL1938_CDC4791_99_CDS_1088,KPL1937_CDC4199_99_CDS_0388,KPL1933_CDC4545_98_CDS_0299,KPL1932_CDC4420_98_CDS_0471,KPL1931_CDC4294_98_CDS_0151,KPL1930_CDC2949_98_CDS_0250,KPL1922_CDC39_95_CDS_0875
KPL3065_CDS_1561,persistent,Succinyl-diaminopimelate desuccinylase,28,28,1,NA,NA,,,,1361,1361,1361,KPL3033_CDS_1676,KPL3043_CDS_1581,KPL3050_CDS_1701,KPL3052_CDS_1686,KPL3065_CDS_1561,KPL3069_CDS_1739,KPL3070_CDS_1610,KPL3077_CDS_1072,KPL3084_CDS_1630,KPL3086_CDS_1574,KPL3090_CDS_1762,KPL3246_CDS_1598,KPL3250_CDS_1575,KPL3256_CDS_1184,KPL3264_CDS_1374,KPL3274_CDS_1555,KPL3911_CDS_1644,KPL1914_CDS_0452,KPL1934_CDC4709_98_CDS_0235,ATCC_51524_CDS_0654,KPL1939_CDC4792_99_CDS_1733,KPL1938_CDC4791_99_CDS_0526,KPL1937_CDC4199_99_CDS_1248,KPL1933_CDC4545_98_CDS_1426,KPL1932_CDC4420_98_CDS_1010,KPL1931_CDC4294_98_CDS_1452,KPL1930_CDC2949_98_CDS_0059,KPL1922_CDC39_95_CDS_0248
KPL3065_CDS_1625,persistent,Tryptophan--tRNA ligase 2,28,29,1.04,NA,NA,,,,350,1016,980.93,KPL3033_CDS_1739,KPL3043_CDS_1646,KPL3050_CDS_1773,KPL3052_CDS_1750,KPL3065_CDS_1625,KPL3069_CDS_1804,KPL3070_CDS_1672,KPL3077_CDS_1135,KPL3084_CDS_1693,KPL3086_CDS_1638,KPL3090_CDS_1823,KPL3246_CDS_1661,KPL3250_CDS_1641,"KPL3256_CDS_1256 ""KPL3256_CDS_1257""",KPL3264_CDS_1313,KPL3274_CDS_1618,KPL3911_CDS_1708,KPL1914_CDS_0392,KPL1934_CDC4709_98_CDS_0294,ATCC_51524_CDS_0594,KPL1939_CDC4792_99_CDS_1654,KPL1938_CDC4791_99_CDS_0467,KPL1937_CDC4199_99_CDS_1308,KPL1933_CDC4545_98_CDS_1484,KPL1932_CDC4420_98_CDS_0949,KPL1931_CDC4294_98_CDS_1385,KPL1930_CDC2949_98_CDS_0617,KPL1922_CDC39_95_CDS_0646
KPL3065_CDS_1657,persistent,tRNA-dihydrouridine synthase B,28,28,1,NA,NA,,,,1022,1061,1023.39,KPL3033_CDS_1771,KPL3043_CDS_1677,KPL3050_CDS_1801,KPL3052_CDS_1784,KPL3065_CDS_1657,KPL3069_CDS_1832,KPL3070_CDS_1703,KPL3077_CDS_1167,KPL3084_CDS_1723,KPL3086_CDS_1669,KPL3090_CDS_1855,KPL3246_CDS_1691,KPL3250_CDS_1674,KPL3256_CDS_1290,KPL3264_CDS_1281,KPL3274_CDS_1644,KPL3911_CDS_1738,KPL1914_CDS_0361,KPL1934_CDC4709_98_CDS_0326,ATCC_51524_CDS_0562,KPL1939_CDC4792_99_CDS_0606,KPL1938_CDC4791_99_CDS_1610,KPL1937_CDC4199_99_CDS_1476,KPL1933_CDC4545_98_CDS_1153,KPL1932_CDC4420_98_CDS_1464,KPL1931_CDC4294_98_CDS_0878,KPL1930_CDC2949_98_CDS_0654,KPL1922_CDC39_95_CDS_0990
KPL3065_CDS_1689,persistent,Folylpolyglutamate synthase,28,28,1,NA,NA,,,,1277,1283,1281.71,KPL3033_CDS_1796,KPL3043_CDS_1709,KPL3050_CDS_1835,KPL3052_CDS_1815,KPL3065_CDS_1689,KPL3069_CDS_1865,KPL3070_CDS_1732,KPL3077_CDS_1197,KPL3084_CDS_1752,KPL3086_CDS_1701,KPL3090_CDS_1886,KPL3246_CDS_1715,KPL3250_CDS_1709,KPL3256_CDS_1327,KPL3264_CDS_1257,KPL3274_CDS_1679,KPL3911_CDS_1767,KPL1914_CDS_0339,KPL1934_CDC4709_98_CDS_0361,ATCC_51524_CDS_0535,KPL1939_CDC4792_99_CDS_0638,KPL1938_CDC4791_99_CDS_1639,KPL1937_CDC4199_99_CDS_1501,KPL1933_CDC4545_98_CDS_1128,KPL1932_CDC4420_98_CDS_1493,KPL1931_CDC4294_98_CDS_1647,KPL1930_CDC2949_98_CDS_0365,KPL1922_CDC39_95_CDS_0960
KPL3069_CDS_0027,persistent,hypothetical protein,28,28,1,NA,NA,,,,1322,1322,1322,KPL3033_CDS_0026,KPL3043_CDS_0032,KPL3050_CDS_0026,KPL3052_CDS_0026,KPL3065_CDS_0032,KPL3069_CDS_0027,KPL3070_CDS_0033,KPL3077_CDS_1228,KPL3084_CDS_0033,KPL3086_CDS_0032,KPL3090_CDS_0034,KPL3246_CDS_0031,KPL3250_CDS_0026,KPL3256_CDS_1363,KPL3264_CDS_1226,KPL3274_CDS_0026,KPL3911_CDS_0034,KPL1914_CDS_0308,KPL1934_CDC4709_98_CDS_0392,ATCC_51524_CDS_0499,KPL1939_CDC4792_99_CDS_0674,KPL1938_CDC4791_99_CDS_1675,KPL1937_CDC4199_99_CDS_1126,KPL1933_CDC4545_98_CDS_1092,KPL1932_CDC4420_98_CDS_1529,KPL1931_CDC4294_98_CDS_1678,KPL1930_CDC2949_98_CDS_0401,KPL1922_CDC39_95_CDS_0929
KPL3069_CDS_0059,persistent,putative protein YqgN,28,28,1,NA,NA,,,,584,584,584,KPL3033_CDS_0058,KPL3043_CDS_0066,KPL3050_CDS_0057,KPL3052_CDS_0058,KPL3065_CDS_0066,KPL3069_CDS_0059,KPL3070_CDS_0065,KPL3077_CDS_1260,KPL3084_CDS_0065,KPL3086_CDS_0066,KPL3090_CDS_0159,KPL3246_CDS_0065,KPL3250_CDS_0057,KPL3256_CDS_1396,KPL3264_CDS_1195,KPL3274_CDS_0057,KPL3911_CDS_0066,KPL1914_CDS_0274,KPL1934_CDC4709_98_CDS_0429,ATCC_51524_CDS_0466,KPL1939_CDC4792_99_CDS_0706,KPL1938_CDC4791_99_CDS_1399,KPL1937_CDC4199_99_CDS_1092,KPL1933_CDC4545_98_CDS_1042,KPL1932_CDC4420_98_CDS_1562,KPL1931_CDC4294_98_CDS_0818,KPL1930_CDC2949_98_CDS_0444,KPL1922_CDC39_95_CDS_0023
KPL3069_CDS_0091,shell,hypothetical protein,15,15,1,NA,NA,,,,494,494,494,KPL3033_CDS_0091,KPL3043_CDS_0099,KPL3050_CDS_0092,,,KPL3069_CDS_0091,,KPL3077_CDS_1293,,,,,,KPL3256_CDS_1428,,KPL3274_CDS_0091,,KPL1914_CDS_0239,,ATCC_51524_CDS_0432,KPL1939_CDC4792_99_CDS_0738,KPL1938_CDC4791_99_CDS_1357,,KPL1933_CDC4545_98_CDS_1007,KPL1932_CDC4420_98_CDS_1597,,KPL1930_CDC2949_98_CDS_0477,KPL1922_CDC39_95_CDS_0058
KPL3069_CDS_0155,persistent,Beta-hexosaminidase,28,28,1,NA,NA,,,,1574,1574,1574,KPL3033_CDS_0157,KPL3043_CDS_0176,KPL3050_CDS_0167,KPL3052_CDS_0145,KPL3065_CDS_0161,KPL3069_CDS_0155,KPL3070_CDS_0159,KPL3077_CDS_1359,KPL3084_CDS_0158,KPL3086_CDS_0160,KPL3090_CDS_0257,KPL3246_CDS_0152,KPL3250_CDS_0136,KPL3256_CDS_1496,KPL3264_CDS_1079,KPL3274_CDS_0168,KPL3911_CDS_0161,KPL1914_CDS_0170,KPL1934_CDC4709_98_CDS_0524,ATCC_51524_CDS_0361,KPL1939_CDC4792_99_CDS_0820,KPL1938_CDC4791_99_CDS_1296,KPL1937_CDC4199_99_CDS_0987,KPL1933_CDC4545_98_CDS_0948,KPL1932_CDC4420_98_CDS_1661,KPL1931_CDC4294_98_CDS_1166,KPL1930_CDC2949_98_CDS_0759,KPL1922_CDC39_95_CDS_1156
KPL3069_CDS_0187,persistent,Acyl carrier protein,28,28,1,NA,NA,,,,224,224,224,KPL3033_CDS_0179,KPL3043_CDS_0202,KPL3050_CDS_0190,KPL3052_CDS_0176,KPL3065_CDS_0187,KPL3069_CDS_0187,KPL3070_CDS_0191,KPL3077_CDS_1396,KPL3084_CDS_0190,KPL3086_CDS_0186,KPL3090_CDS_0284,KPL3246_CDS_0175,KPL3250_CDS_0161,KPL3256_CDS_1527,KPL3264_CDS_1051,KPL3274_CDS_0190,KPL3911_CDS_0193,KPL1914_CDS_0140,KPL1934_CDC4709_98_CDS_0551,ATCC_51524_CDS_0337,KPL1939_CDC4792_99_CDS_0842,KPL1938_CDC4791_99_CDS_1461,KPL1937_CDC4199_99_CDS_0954,KPL1933_CDC4545_98_CDS_0914,KPL1932_CDC4420_98_CDS_1031,KPL1931_CDC4294_98_CDS_1478,KPL1930_CDC2949_98_CDS_0792,KPL1922_CDC39_95_CDS_1133
KPL3069_CDS_0219,persistent,Adenylate kinase,28,28,1,NA,NA,,,,644,644,644,KPL3033_CDS_0211,KPL3043_CDS_0234,KPL3050_CDS_0222,KPL3052_CDS_0208,KPL3065_CDS_0219,KPL3069_CDS_0219,KPL3070_CDS_0223,KPL3077_CDS_1428,KPL3084_CDS_0223,KPL3086_CDS_0218,KPL3090_CDS_0316,KPL3246_CDS_0207,KPL3250_CDS_0193,KPL3256_CDS_1558,KPL3264_CDS_1019,KPL3274_CDS_0222,KPL3911_CDS_0225,KPL1914_CDS_0108,KPL1934_CDC4709_98_CDS_0583,ATCC_51524_CDS_0305,KPL1939_CDC4792_99_CDS_0874,KPL1938_CDC4791_99_CDS_1493,KPL1937_CDC4199_99_CDS_0922,KPL1933_CDC4545_98_CDS_0882,KPL1932_CDC4420_98_CDS_1063,KPL1931_CDC4294_98_CDS_1510,KPL1930_CDC2949_98_CDS_0824,KPL1922_CDC39_95_CDS_1101
KPL3069_CDS_0283,persistent,hypothetical protein,28,28,1,NA,NA,,,,233,233,233,KPL3033_CDS_0276,KPL3043_CDS_0292,KPL3050_CDS_0297,KPL3052_CDS_0274,KPL3065_CDS_0279,KPL3069_CDS_0283,KPL3070_CDS_0294,KPL3077_CDS_1493,KPL3084_CDS_0294,KPL3086_CDS_0277,KPL3090_CDS_0384,KPL3246_CDS_0282,KPL3250_CDS_0268,KPL3256_CDS_1620,KPL3264_CDS_0967,KPL3274_CDS_0287,KPL3911_CDS_0296,KPL1914_CDS_0035,KPL1934_CDC4709_98_CDS_0645,ATCC_51524_CDS_0240,KPL1939_CDC4792_99_CDS_0458,KPL1938_CDC4791_99_CDS_1153,KPL1937_CDC4199_99_CDS_0844,KPL1933_CDC4545_98_CDS_0810,KPL1932_CDC4420_98_CDS_1130,KPL1931_CDC4294_98_CDS_1583,KPL1930_CDC2949_98_CDS_0887,KPL1922_CDC39_95_CDS_1039
